id,z_2017_25Sites,zbar_2017_25Sites,x_2017_25Sites,gamma_25Sites,theta_25Sites,gammaSD_25Sites,thetaSD_25Sites,d_theta_winsorized_2017,d_theta_winsorized_2006,pasture_area_2017,amazonBiomeArea_ha_25Sites,siteArea_ha_25Sites,forestArea_1995_ha_25Sites,z_1995_25Sites,zbar_1995_25Sites,forestArea_2017_ha_25Sites,gamma2010_25Sites,gamma2017_25Sites,gamma2018_25Sites,alpha_25Sites,kappa_25Sites,zeta_25Sites,zeta_alt_25Sites,theta2017_25Sites,theta2006_25Sites,p_2017_25Sites,new_theta_25Sites,new_gamma_25Sites,newgammaSD_25Sites,newthetaSD_25Sites
1,577.0929401,827842.673,429227980,518.8514914,0.009565399,22.65390799,0.00716589,1,1,0.21894615,835019.2471,28921922.75,827007.3445,844.8093137,827852.1538,827265.5801,492.7008922,532.4828216,531.3707602,0.045007414,2.094215255,1.66E-04,2.06E-04,0.014632449,0.00449835,44.75876047,0.006387929,518.8514914,22.65390799,0.009041225
2,5589.185181,5923957.508,2885460436,487.5432345,0.009571445,13.62725374,0.007174441,0,0,15890.10263,5983815.873,28921922.75,5915978.036,5418.676485,5921396.712,5918368.323,471.8553627,496.4454957,494.3288452,0.045007414,2.094215255,1.66E-04,2.06E-04,0.014644541,0.00449835,44.75876047,0.006385283,487.5432345,13.62725374,0.009053661
3,787674.0828,16269303.58,8325131123,537.7425627,0.145534054,21.34917569,0.018122882,0,0,1019451.892,21167120.75,28921922.75,16035738.78,271019.0559,16306757.84,15481629.5,513.1296798,551.2497541,548.8482542,0.045007414,2.094215255,1.66E-04,2.06E-04,0.132719242,0.158348867,44.75876047,0.145534054,537.7425627,21.34917569,0.018122882
4,9646.861745,8317106.102,5082112479,611.7529237,1.222086173,33.30934455,0.086294651,0,0,116488.112,8842695.163,28921922.75,8300092.307,10191.91745,8310284.224,8307459.24,573.296906,631.5838073,630.3780579,0.045007414,2.094215255,1.66E-04,2.06E-04,1.161066641,1.283105706,44.75876047,1.222086173,611.7529237,33.30934455,0.086294651
5,128634.5031,11492722.45,7933747088,698.1420002,1.438382686,32.70939545,0.363288334,0,0,453165.2751,13137913.83,28921922.75,11344707.96,84274.64525,11428982.6,11364087.94,660.6755424,721.0108009,712.7396573,0.045007414,2.094215255,1.66E-04,2.06E-04,1.695266331,1.181499042,44.75876047,1.438325192,698.1420002,32.70939545,0.363402136
6,16248.65369,3641993.119,2157656869,595.0934737,0.410196219,20.61563522,0.511899431,0,0,571.5543282,3741019.232,28939360.5,3630264.735,16582.06075,3646846.796,3625744.465,571.2905306,607.2582698,606.7316208,0.045007414,2.094215255,1.66E-04,2.06E-04,0.04822866,0.772163779,44.75876047,-0.156732658,595.0934737,20.61563522,0.70327314
7,77127.05958,27941871.29,15084226751,541.3373482,0.603319544,10.31888153,0.663959683,0,0,5451.497869,28939360.5,28939360.5,27921953.77,61927.12447,27983880.89,27864744.23,529.6243018,549.0866797,545.3010632,0.045007414,2.094215255,1.66E-04,2.06E-04,0.133829149,1.072809938,44.75876047,-0.026766774,541.3373482,10.31888153,0.906082695
8,413615.3759,26031526.11,12861932266,502.0679633,1.12982865,7.755623803,0.610236117,0,0,174329.306,28939360.5,28939360.5,26051629.69,188282.2113,26239911.9,25617910.73,493.1571996,507.2969196,505.7497708,0.045007414,2.094215255,1.66E-04,2.06E-04,0.698326554,1.561330747,44.75876047,1.048976344,502.0679633,7.755623803,0.680982651
9,1415637.311,26494123.96,14745302314,587.9661928,1.680309227,14.95505821,0.405095198,0,0,784071.5843,28939360.5,28939360.5,25596087.15,937833.446,26533920.59,25078486.65,570.7466154,597.7022062,595.4497568,0.045007414,2.094215255,1.66E-04,2.06E-04,1.393863666,1.966754789,44.75876047,1.680279462,587.9661928,14.95505821,0.405156925
10,2975490.403,25883433.49,14331431160,625.6096896,1.955357975,17.15621351,0.29090205,0,0,2182829.264,28922502.58,28939360.5,24831588.62,1156831.126,25988419.74,22907943.08,605.882112,637.0395805,633.9073761,0.045007414,2.094215255,1.66E-04,2.06E-04,1.749659162,2.161056787,44.75876047,1.955357975,625.6096896,17.15621351,0.290902051
11,7911410.246,18981310.08,5281137322,477.0718256,1.730497758,13.73008142,0.142108069,0,0,3744687.379,22282205.26,28939360.5,14049327.53,5070403.427,19119730.96,11069899.83,492.7431432,467.157107,471.3152266,0.045007414,2.094215255,1.66E-04,2.06E-04,1.830983337,1.630012179,44.75876047,1.730497758,477.0718256,13.73008142,0.142108069
12,311951.5001,986453.6577,142948654.2,211.9320933,1.038740726,10.07743264,0.570977844,0,0,279915.3198,1809786.991,10852260.19,818121.2084,207134.744,1025255.952,674502.1577,223.5662453,206.3138347,205.9161998,0.045007414,2.094215255,1.66E-04,2.06E-04,1.442483032,0.634998421,44.75876047,0.956578323,211.9320933,10.07743264,0.64137441
13,491859.8041,23983732.12,17303115233,736.557521,1.476147737,26.61126081,0.139872273,0,0,271377.7053,24100007.7,28754954.75,23786450.5,219460.174,24005910.67,23491872.31,705.9060929,753.7611778,750.0052922,0.045007414,2.094215255,1.66E-04,2.06E-04,1.377243105,1.57505237,44.75876047,1.476147737,736.557521,26.61126081,0.139872273
14,548889.5383,28379164.51,17905140329,643.369149,1.481625785,15.76453451,0.281477173,0,0,386380.0408,28754954.75,28754954.75,28226007.81,168585.9398,28394593.75,27830274.98,625.2061073,653.4987565,651.4025833,0.045007414,2.094215255,1.66E-04,2.06E-04,1.282591367,1.680660203,44.75876047,1.481625677,643.369149,15.76453451,0.281477458
15,1193672.493,27505450.39,14971933106,569.0201995,2.148744698,9.326237,0.669810715,0,0,836800.9598,28754954.75,28754954.75,27248235.03,305843.8651,27554078.9,26311777.89,558.2629481,574.8345459,573.9631046,0.045007414,2.094215255,1.66E-04,2.06E-04,1.675116999,2.622372397,44.75876047,2.14710596,569.0201995,9.326237,0.672434104
16,1416617.977,28080696.69,16560430935,621.0764345,1.886457956,20.44218638,0.509077894,0,0,1114716.385,28754954.75,28754954.75,27899301.18,211569.86,28110871.04,26664078.71,597.4721876,632.7661702,632.9909457,0.045007414,2.094215255,1.66E-04,2.06E-04,1.526485524,2.246430387,44.75876047,1.886243387,621.0764345,20.44218638,0.509475296
17,6055143.679,27530403.94,12342324579,574.7229338,1.921982883,20.48965668,0.441136891,0,0,5475641.611,28143780.31,28754954.75,25251401.66,2356742.635,27608144.29,21475260.26,551.0730127,587.1283715,585.9674171,0.045007414,2.094215255,1.66E-04,2.06E-04,1.610051997,2.23391377,44.75876047,1.921969575,574.7229338,20.48965668,0.441165881
18,6746442.015,9828455.437,1172274675,380.3600162,2.116502975,14.10450348,0.18929511,0,0,6215860.48,10140852.05,28754954.75,4594479.834,5258155.062,9852634.896,3082013.421,396.6231125,371.4729601,372.983976,0.045007414,2.094215255,1.66E-04,2.06E-04,1.982651119,2.250354831,44.75876047,2.116502975,380.3600162,14.10450348,0.18929511
19,84410.49025,4377913.526,3458705736,805.5673203,2.226717826,34.62746663,0.02200736,0,0,206668.6758,4383962.47,28369709.75,4342512.173,37365.13854,4379877.311,4293503.036,765.7002933,828.1516001,822.8500676,0.045007414,2.094215255,1.66E-04,2.06E-04,2.24227938,2.211156273,44.75876047,2.226717826,805.5673203,34.62746663,0.02200736
20,2448200.526,8346530.632,3876918352,657.2908404,2.381851394,16.33038484,0.367735536,0,0,1431127.471,8471226.918,28369709.75,7421231.916,940812.1476,8362044.063,5898330.106,638.6089896,668.8505059,664.4130257,0.045007414,2.094215255,1.66E-04,2.06E-04,2.121823102,2.641879685,44.75876047,2.381851394,657.2908404,16.33038484,0.367735537
21,7385903.416,21218696.15,8043971730,581.5146574,2.981312798,7.818335124,0.125620885,0,0,6214000.93,22304363.3,28369709.75,17326064.54,3932110.319,21258174.86,13832792.74,572.4978173,586.4088369,585.6373179,0.045007414,2.094215255,1.66E-04,2.06E-04,2.892485418,3.070140178,44.75876047,2.981312798,581.5146574,7.818335124,0.125620885
22,8456499.239,20770966.56,5667952486,460.2677759,2.603274263,0.703270849,0.248579505,0,0,4954354.69,21081987.3,28369709.75,17529533.28,3297755.012,20827288.3,12314467.32,459.9840101,459.7507221,461.0685955,0.045007414,2.094215255,1.66E-04,2.06E-04,2.42750201,2.779046517,44.75876047,2.603274263,460.2677759,0.703270849,0.248579505
